age,region,face_confidence,gender,dominant_gender,race,dominant_race,emotion,dominant_emotion,file_path
22,"{'x': 1016, 'y': 174, 'w': 199, 'h': 199, 'left_eye': (1150, 252), 'right_eye': (1082, 258)}",0.95,"{'Woman': 0.5596194416284561, 'Man': 99.44038391113281}",Man,"{'asian': 61.778634786605835, 'indian': 7.87615180015564, 'black': 13.478915393352509, 'white': 2.005348354578018, 'middle eastern': 1.1087073013186455, 'latino hispanic': 13.752244412899017}",asian,"{'angry': 0.00023237400021467917, 'disgust': 1.0634940673613958e-06, 'fear': 0.00017078506170270866, 'happy': 79.64839813997735, 'sad': 0.03660752481583654, 'surprise': 0.009608309328259712, 'neutral': 20.30498059421662}",happy,image/teen/image13.jpeg
34,"{'x': 0, 'y': 0, 'w': 640, 'h': 650, 'left_eye': None, 'right_eye': None}",0.0,"{'Woman': 11.925289034843445, 'Man': 88.07470798492432}",Man,"{'asian': 1.3822982087731361, 'indian': 9.525305032730103, 'black': 6.02949745953083, 'white': 52.38857865333557, 'middle eastern': 21.82517796754837, 'latino hispanic': 8.849145472049713}",white,"{'angry': 0.001619399517949205, 'disgust': 2.636331365886424e-11, 'fear': 49.958598613739014, 'happy': 0.005213803888182156, 'sad': 50.0269889831543, 'surprise': 5.3611842742995464e-08, 'neutral': 0.007581193494843319}",sad,image/teen/image10.jpeg
23,"{'x': 770, 'y': 290, 'w': 367, 'h': 367, 'left_eye': (1019, 451), 'right_eye': (889, 428)}",0.93,"{'Woman': 99.31867122650146, 'Man': 0.6813285406678915}",Woman,"{'asian': 0.07129823789000511, 'indian': 0.5039207171648741, 'black': 0.005686622171197087, 'white': 60.69546937942505, 'middle eastern': 23.696368932724, 'latino hispanic': 15.027253329753876}",white,"{'angry': 0.00498160072900117, 'disgust': 2.051654524212591e-08, 'fear': 0.05059917176919709, 'happy': 0.003854919716683088, 'sad': 0.1371788874077134, 'surprise': 0.0022333853361189006, 'neutral': 99.80115293271261}",neutral,image/teen/image8.jpeg
24,"{'x': 241, 'y': 249, 'w': 279, 'h': 279, 'left_eye': (427, 362), 'right_eye': (341, 353)}",0.91,"{'Woman': 77.62492895126343, 'Man': 22.375068068504333}",Woman,"{'asian': 19.750206172466278, 'indian': 16.867193579673767, 'black': 8.683354407548904, 'white': 11.533526331186295, 'middle eastern': 9.289393573999405, 'latino hispanic': 33.87632071971893}",latino hispanic,"{'angry': 0.7653226135118373, 'disgust': 2.492175503518605e-06, 'fear': 3.1627787299620347, 'happy': 0.000397347890648772, 'sad': 80.3055036250057, 'surprise': 7.205708104477968e-05, 'neutral': 15.76592271124856}",sad,image/teen/image4.jpeg
32,"{'x': 819, 'y': 241, 'w': 215, 'h': 215, 'left_eye': None, 'right_eye': None}",0.93,"{'Woman': 3.595810756087303, 'Man': 96.40419483184814}",Man,"{'asian': 0.7097454656357128, 'indian': 0.012651699997407943, 'black': 0.0010443895342998302, 'white': 97.75609347296876, 'middle eastern': 0.6965981229809669, 'latino hispanic': 0.8238665810366369}",white,"{'angry': 0.24922894602519918, 'disgust': 0.00011424323022393885, 'fear': 84.09248184055306, 'happy': 0.00019457700045350375, 'sad': 14.821757099418987, 'surprise': 0.00028672794762132475, 'neutral': 0.8359321327886423}",fear,image/teen/image5.jpeg
25,"{'x': 611, 'y': 380, 'w': 233, 'h': 233, 'left_eye': (769, 468), 'right_eye': (675, 462)}",0.89,"{'Woman': 99.47333335876465, 'Man': 0.5266639869660139}",Woman,"{'asian': 1.0485398320868509e-05, 'indian': 1.7523940030607386e-05, 'black': 1.860792187223748e-07, 'white': 99.79695680177727, 'middle eastern': 0.10794178692945398, 'latino hispanic': 0.0950638149695766}",white,"{'angry': 0.014098834071774036, 'disgust': 6.077517504012031e-11, 'fear': 0.19443981582298875, 'happy': 9.142641488324443e-05, 'sad': 6.593035906553268, 'surprise': 6.173696647238103e-05, 'neutral': 93.19827556610107}",neutral,image/teen/image9.jpeg
28,"{'x': 467, 'y': 255, 'w': 346, 'h': 346, 'left_eye': (695, 388), 'right_eye': (577, 393)}",0.91,"{'Woman': 3.480413556098938, 'Man': 96.5195894241333}",Man,"{'asian': 5.952069163322449, 'indian': 1.202118769288063, 'black': 0.21400749683380127, 'white': 51.127445697784424, 'middle eastern': 10.23842915892601, 'latino hispanic': 31.2659353017807}",white,"{'angry': 0.00045742834115846905, 'disgust': 7.038648377201967e-12, 'fear': 0.26516385094307965, 'happy': 1.46284848429582e-10, 'sad': 98.6204444539812, 'surprise': 3.1676452358951293e-12, 'neutral': 1.113934881325655}",sad,image/teen/image11.jpeg
38,"{'x': 0, 'y': 0, 'w': 769, 'h': 813, 'left_eye': None, 'right_eye': None}",0.0,"{'Woman': 14.689336717128754, 'Man': 85.3106677532196}",Man,"{'asian': 14.287708486591757, 'indian': 13.65611390398575, 'black': 15.32800312900506, 'white': 18.214155052404994, 'middle eastern': 21.184976853731055, 'latino hispanic': 17.329036613817618}",middle eastern,"{'angry': 0.01398221793351695, 'disgust': 3.1769125524716557e-09, 'fear': 99.13753867149353, 'happy': 0.796041451394558, 'sad': 0.0032797823223518208, 'surprise': 0.04916083998978138, 'neutral': 1.8028508685929978e-07}",fear,image/teen/image3.jpeg
23,"{'x': 467, 'y': 599, 'w': 255, 'h': 255, 'left_eye': (637, 685), 'right_eye': (545, 716)}",0.95,"{'Woman': 32.42267370223999, 'Man': 67.57733225822449}",Man,"{'asian': 91.25227332115173, 'indian': 3.2511603087186813, 'black': 0.9721634909510612, 'white': 0.31591402366757393, 'middle eastern': 0.04937797202728689, 'latino hispanic': 4.15910929441452}",asian,"{'angry': 52.25327326376875, 'disgust': 0.048436393239469425, 'fear': 4.23382098876363, 'happy': 0.00011888223097327308, 'sad': 28.55572870705895, 'surprise': 0.03155292840151807, 'neutral': 14.877068393055701}",angry,image/adults/image14.jpeg
26,"{'x': 74, 'y': 287, 'w': 1098, 'h': 1098, 'left_eye': (830, 705), 'right_eye': (395, 752)}",0.89,"{'Woman': 99.97615218162537, 'Man': 0.023844369570724666}",Woman,"{'asian': 0.9945534846718925, 'indian': 0.15403188791490938, 'black': 0.008827833192224941, 'white': 80.43577904274713, 'middle eastern': 6.530903246295065, 'latino hispanic': 11.875899210465048}",white,"{'angry': 0.2643699449670282, 'disgust': 1.734908847852667e-09, 'fear': 0.3048175894732827, 'happy': 2.3761685947416345e-05, 'sad': 1.0575373356066546, 'surprise': 5.614834443439386e-06, 'neutral': 98.37324609597005}",neutral,image/adults/image15.jpeg
29,"{'x': 488, 'y': 164, 'w': 347, 'h': 347, 'left_eye': (718, 298), 'right_eye': (594, 300)}",0.94,"{'Woman': 0.002531489917600993, 'Man': 99.99747276306152}",Man,"{'asian': 0.003063721668178799, 'indian': 0.008135760921167771, 'black': 0.00023916228988357064, 'white': 95.6273918596039, 'middle eastern': 2.2876002892732274, 'latino hispanic': 2.0735637606902406}",white,"{'angry': 2.2146433992231707e-09, 'disgust': 4.4046745617402175e-19, 'fear': 0.0011790714779635891, 'happy': 3.422376271267069e-09, 'sad': 1.7296332823022592e-11, 'surprise': 99.99881982803345, 'neutral': 1.0526211611607811e-15}",surprise,image/adults/image1.jpeg
37,"{'x': 0, 'y': 0, 'w': 733, 'h': 782, 'left_eye': None, 'right_eye': None}",0.0,"{'Woman': 3.3608611673116684, 'Man': 96.63914442062378}",Man,"{'asian': 6.571218763066456, 'indian': 21.653319695789797, 'black': 20.867502443045524, 'white': 14.215704155904302, 'middle eastern': 20.715339226444915, 'latino hispanic': 15.976918695981425}",indian,"{'angry': 0.011666058708215132, 'disgust': 2.192166032033427e-08, 'fear': 13.688276708126068, 'happy': 0.056583317928016186, 'sad': 78.73246669769287, 'surprise': 0.09040212025865912, 'neutral': 7.420606911182404}",sad,image/adults/image12.jpeg
29,"{'x': 193, 'y': 401, 'w': 891, 'h': 891, 'left_eye': (796, 763), 'right_eye': (453, 747)}",0.92,"{'Woman': 1.6439767591691634e-05, 'Man': 99.99998807907104}",Man,"{'asian': 0.0693966168910265, 'indian': 15.545238554477692, 'black': 0.2649275120347738, 'white': 4.5805372297763824, 'middle eastern': 70.80105543136597, 'latino hispanic': 8.738847076892853}",middle eastern,"{'angry': 1.8340995535254478, 'disgust': 1.5517682624976992e-09, 'fear': 97.53336906433105, 'happy': 0.562796788290143, 'sad': 0.0003392661710677203, 'surprise': 0.06939344457350671, 'neutral': 5.61232949003454e-08}",fear,image/adults/image6.jpeg
27,"{'x': 422, 'y': 53, 'w': 447, 'h': 447, 'left_eye': (720, 225), 'right_eye': (544, 233)}",0.93,"{'Woman': 0.667973980307579, 'Man': 99.33202266693115}",Man,"{'asian': 5.103832855820656, 'indian': 3.378193825483322, 'black': 4.758866503834724, 'white': 35.605865716934204, 'middle eastern': 9.494943171739578, 'latino hispanic': 41.65830612182617}",latino hispanic,"{'angry': 21.93230670287053, 'disgust': 0.004932414888799705, 'fear': 78.05409300649721, 'happy': 0.001283175410293719, 'sad': 0.0006091871818386527, 'surprise': 0.006774836623658933, 'neutral': 5.275583395948055e-07}",fear,image/adults/image7.jpeg
25,"{'x': 497, 'y': 206, 'w': 447, 'h': 447, 'left_eye': (821, 387), 'right_eye': (600, 388)}",0.92,"{'Woman': 1.8117921740667953e-05, 'Man': 99.99997615814209}",Man,"{'asian': 7.088126472581514e-33, 'indian': 7.509491187104949e-26, 'black': 100.0, 'white': 0.0, 'middle eastern': 0.0, 'latino hispanic': 9.166740046582362e-32}",black,"{'angry': 0.1030043582431972, 'disgust': 1.2669843439097519e-12, 'fear': 99.8694360256195, 'happy': 1.3089757722184459e-06, 'sad': 0.02342543302802369, 'surprise': 0.00045875090108893346, 'neutral': 0.0036782748793484643}",fear,image/adults/image13.jpeg
25,"{'x': 262, 'y': 168, 'w': 980, 'h': 980, 'left_eye': (900, 569), 'right_eye': (588, 561)}",0.95,"{'Woman': 0.002704275175346993, 'Man': 99.9972939491272}",Man,"{'asian': 4.753181621621944, 'indian': 4.048511627227761, 'black': 1.1446819391657077, 'white': 46.95565086338823, 'middle eastern': 18.059591535305472, 'latino hispanic': 25.038380923174675}",white,"{'angry': 0.2243853872641921, 'disgust': 7.55332602020431e-09, 'fear': 3.0330346897244453, 'happy': 0.00012086745755368611, 'sad': 95.92832922935486, 'surprise': 1.2152342776516889e-05, 'neutral': 0.8141148835420609}",sad,image/adults/image10.jpeg
36,"{'x': 269, 'y': 504, 'w': 529, 'h': 529, 'left_eye': None, 'right_eye': None}",0.96,"{'Woman': 0.027527357451617718, 'Man': 99.97246861457825}",Man,"{'asian': 5.001515313018956e-08, 'indian': 9.470606983086327e-05, 'black': 99.99990463256836, 'white': 6.179129914175591e-13, 'middle eastern': 1.5846572956897229e-13, 'latino hispanic': 4.816088639003624e-08}",black,"{'angry': 74.2382824420929, 'disgust': 0.051949662156403065, 'fear': 1.6636500135064125, 'happy': 0.00223056831600843, 'sad': 9.277601540088654, 'surprise': 0.0010319203283870593, 'neutral': 14.765261113643646}",angry,image/adults/image8.jpeg
29,"{'x': 872, 'y': 491, 'w': 458, 'h': 458, 'left_eye': (1190, 640), 'right_eye': (1033, 674)}",0.98,"{'Woman': 99.20177459716797, 'Man': 0.7982306182384491}",Woman,"{'asian': 25.862818956375122, 'indian': 21.65888100862503, 'black': 9.666726738214493, 'white': 9.219121932983398, 'middle eastern': 7.759355008602142, 'latino hispanic': 25.833097100257874}",asian,"{'angry': 17.139251061633292, 'disgust': 0.001829541106327093, 'fear': 37.201993894695875, 'happy': 0.49986572190318834, 'sad': 8.530158312926192, 'surprise': 0.9592145321795066, 'neutral': 35.66768978045522}",fear,image/adults/image4.jpeg
29,"{'x': 977, 'y': 261, 'w': 477, 'h': 477, 'left_eye': None, 'right_eye': None}",0.93,"{'Woman': 1.3775578700006008, 'Man': 98.62244129180908}",Man,"{'asian': 1.5186317265033722, 'indian': 9.664206951856613, 'black': 0.6817179266363382, 'white': 23.27178716659546, 'middle eastern': 39.3878698348999, 'latino hispanic': 25.475788116455078}",middle eastern,"{'angry': 0.23740299009943128, 'disgust': 99.43452484196128, 'fear': 0.3258198576933315, 'happy': 5.32643459433477e-12, 'sad': 0.0022415787554489626, 'surprise': 9.451389931985614e-10, 'neutral': 3.824014607078439e-09}",disgust,image/adults/image5.jpeg
30,"{'x': 414, 'y': 214, 'w': 185, 'h': 185, 'left_eye': None, 'right_eye': None}",0.91,"{'Woman': 0.00015065677416714607, 'Man': 99.99984502792358}",Man,"{'asian': 0.6588789780284192, 'indian': 5.336612199352717, 'black': 0.5512437126047954, 'white': 41.940552956992036, 'middle eastern': 31.571023872968688, 'latino hispanic': 19.94168073634139}",white,"{'angry': 6.11091677260589e-08, 'disgust': 2.8779704726705943e-17, 'fear': 2.2220547342237384e-12, 'happy': 99.96151924133301, 'sad': 1.2316509791221453e-09, 'surprise': 1.7058280832316086e-05, 'neutral': 0.03846139879897237}",happy,image/adults/image9.jpeg
34,"{'x': 0, 'y': 0, 'w': 901, 'h': 1085, 'left_eye': None, 'right_eye': None}",0.0,"{'Woman': 17.406783998012543, 'Man': 82.59321451187134}",Man,"{'asian': 4.389612376689911, 'indian': 0.6387770641595125, 'black': 1.0848646983504295, 'white': 78.47777009010315, 'middle eastern': 7.334396988153458, 'latino hispanic': 8.074581623077393}",white,"{'angry': 33.12764964966182, 'disgust': 31.4034245725364, 'fear': 23.573991826296826, 'happy': 0.7413422736415537, 'sad': 0.3093051355415421, 'surprise': 8.000482410134982, 'neutral': 2.8438004068970195}",angry,image/adults/image11.jpeg
34,"{'x': 0, 'y': 0, 'w': 1093, 'h': 1195, 'left_eye': None, 'right_eye': None}",0.0,"{'Woman': 4.613786563277245, 'Man': 95.38621306419373}",Man,"{'asian': 0.0002110770310537191, 'indian': 6.0377772115316475e-05, 'black': 99.99971389770508, 'white': 1.6887528875297875e-08, 'middle eastern': 6.722730150343637e-08, 'latino hispanic': 1.2412478156420548e-05}",black,"{'angry': 10.67198653054157, 'disgust': 0.0007003190111355313, 'fear': 65.97295200663518, 'happy': 0.15577323266257243, 'sad': 19.8331963916538, 'surprise': 2.4879926435943034, 'neutral': 0.8774010056198243}",fear,image/adults/image2.jpeg
23,"{'x': 274, 'y': 386, 'w': 566, 'h': 566, 'left_eye': (659, 599), 'right_eye': (449, 595)}",0.9,"{'Woman': 99.24333095550537, 'Man': 0.7566677872091532}",Woman,"{'asian': 6.281539232682999e-05, 'indian': 0.00014400652037218367, 'black': 1.391154225844851e-06, 'white': 99.17247305244528, 'middle eastern': 0.5274987150730235, 'latino hispanic': 0.299817544057364}",white,"{'angry': 25.970102904445106, 'disgust': 0.659437377195798, 'fear': 2.9716320244450585, 'happy': 28.590826904226954, 'sad': 17.018588901674086, 'surprise': 0.07588779424020911, 'neutral': 24.713528139205465}",happy,image/adults/image3.jpeg
